"filename", "language", "HTML", "Python", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\README.md", "Markdown", 0, 0, 1, 0, 0, 1, 2
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\admin.py", "Python", 0, 6, 0, 0, 1, 6, 13
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\apps.py", "Python", 0, 4, 0, 0, 0, 3, 7
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\forms.py", "Python", 0, 96, 0, 0, 1, 8, 105
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\migrations\0001_initial.py", "Python", 0, 30, 0, 0, 1, 7, 38
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\migrations\0002_alter_user_created_at_alter_user_email_and_more.py", "Python", 0, 52, 0, 0, 1, 6, 59
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\migrations\0003_user_borrow.py", "Python", 0, 12, 0, 0, 1, 6, 19
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\migrations\0004_remove_user_borrow.py", "Python", 0, 11, 0, 0, 1, 6, 18
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\models.py", "Python", 0, 69, 0, 0, 0, 12, 81
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\tests.py", "Python", 0, 1, 0, 0, 1, 2, 4
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\urls.py", "Python", 0, 23, 0, 0, 0, 2, 25
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\accounts\views.py", "Python", 0, 169, 0, 0, 21, 43, 233
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\admin.py", "Python", 0, 6, 0, 0, 1, 0, 7
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\apps.py", "Python", 0, 7, 0, 0, 0, 3, 10
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\forms.py", "Python", 0, 99, 0, 0, 6, 15, 120
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0001_initial.py", "Python", 0, 14, 0, 0, 1, 7, 22
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0002_place_is_active.py", "Python", 0, 12, 0, 0, 1, 6, 19
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0003_book.py", "Python", 0, 22, 0, 0, 1, 6, 29
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0004_book_isbn.py", "Python", 0, 12, 0, 0, 1, 6, 19
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0005_alter_book_cover_alter_book_isbn_alter_book_pubdate_and_more.py", "Python", 0, 37, 0, 0, 1, 6, 44
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0006_remove_place_is_active.py", "Python", 0, 11, 0, 0, 1, 6, 18
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0007_alter_book_pubdate_alter_place_place.py", "Python", 0, 17, 0, 0, 1, 6, 24
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0008_book_is_borrowed.py", "Python", 0, 12, 0, 0, 1, 6, 19
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0009_alter_book_pubdate.py", "Python", 0, 12, 0, 0, 1, 6, 19
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0010_lenging.py", "Python", 0, 20, 0, 0, 1, 6, 27
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0011_rename_lenging_lending.py", "Python", 0, 13, 0, 0, 1, 6, 20
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0012_alter_lending_date.py", "Python", 0, 13, 0, 0, 1, 6, 20
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0013_lending_is_returned.py", "Python", 0, 12, 0, 0, 1, 6, 19
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0014_review.py", "Python", 0, 21, 0, 0, 1, 6, 28
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0015_alter_review_rating_alter_review_review_text.py", "Python", 0, 17, 0, 0, 1, 6, 24
"c:\Users\GuestUser\OneDrive\デスクトップ\tosho_app\books\migrations\0016_book_authorkana_book_pubkana_book_titlekana.py", "Python", 0, 22, 0, 0, 1, 6, 29
